@relation moon

@attribute att1 real
@attribute att2 real
@attribute class {clust1_, clust2_}

@data
1.08133,0.581325,clust1_
0.409639,0.191265,clust2_
0.355422,0.631024,clust2_
0.576807,0.799699,clust2_
0.460843,0.174699,clust2_
0.668675,0.564759,clust2_
1.11145,0.557229,clust1_
0.456325,0.703313,clust2_
0.314759,0.579819,clust2_
0.597892,0.236446,clust1_
1.07982,0.563253,clust1_
0.64759,0.703313,clust2_
0.856928,0.305723,clust1_
1.02259,0.310241,clust1_
1.04217,0.662651,clust1_
0.682229,0.284639,clust1_
0.570783,0.74247,clust2_
0.506024,0.167169,clust2_
0.490964,0.188253,clust2_
0.706325,0.701807,clust2_
1.06024,0.39006,clust1_
0.555723,0.712349,clust2_
1.0753,0.474398,clust1_
0.597892,0.698795,clust2_
0.266566,0.459337,clust2_
0.691265,0.237952,clust1_
0.884036,0.304217,clust1_
0.53012,0.14006,clust2_
0.454819,0.399096,clust1_
0.689759,0.557229,clust2_
1.08133,0.628012,clust1_
0.615964,0.290663,clust1_
0.259036,0.396084,clust2_
0.329819,0.457831,clust2_
1.01054,0.816265,clust1_
0.588855,0.299699,clust1_
0.542169,0.77259,clust2_
0.293675,0.438253,clust2_
0.989458,0.451807,clust1_
0.850904,0.284639,clust1_
1.0994,0.665663,clust1_
0.664157,0.751506,clust2_
0.536145,0.653614,clust1_
0.433735,0.24247,clust2_
0.662651,0.533133,clust2_
1.00452,0.335843,clust1_
0.475904,0.358434,clust1_
0.692771,0.581325,clust2_
0.396084,0.266566,clust2_
0.737952,0.240964,clust1_
1.03464,0.549699,clust1_
0.667169,0.670181,clust2_
0.436747,0.756024,clust2_
0.954819,0.27259,clust1_
1.06325,0.674699,clust1_
0.531627,0.618976,clust1_
0.60241,0.748494,clust2_
0.25753,0.528614,clust2_
0.307229,0.524096,clust2_
0.751506,0.209337,clust1_
0.495482,0.46988,clust1_
0.281627,0.320783,clust2_
0.471386,0.478916,clust1_
0.442771,0.496988,clust1_
0.572289,0.769578,clust2_
0.412651,0.213855,clust2_
0.284639,0.625,clust2_
0.329819,0.59488,clust2_
0.646084,0.284639,clust1_
0.597892,0.180723,clust2_
0.981928,0.84488,clust1_
0.626506,0.230422,clust1_
0.376506,0.709337,clust2_
0.326807,0.637048,clust2_
1.02259,0.814759,clust1_
0.775602,0.239458,clust1_
0.420181,0.713855,clust2_
0.498494,0.64759,clust1_
1.11145,0.474398,clust1_
0.436747,0.171687,clust2_
0.448795,0.424699,clust1_
1.13253,0.581325,clust1_
0.296687,0.487952,clust2_
0.612952,0.310241,clust1_
1.03464,0.463855,clust1_
1.07982,0.74247,clust1_
0.271084,0.414157,clust2_
0.948795,0.35994,clust1_
0.516566,0.201807,clust2_
0.73494,0.259036,clust1_
0.558735,0.659639,clust1_
0.323795,0.48494,clust2_
1.12801,0.533133,clust1_
0.388554,0.644578,clust2_
0.534639,0.320783,clust1_
0.445783,0.786145,clust2_
1.01807,0.368976,clust1_
1.07078,0.662651,clust1_
1.12952,0.626506,clust1_
0.319277,0.552711,clust2_
0.40512,0.662651,clust2_
0.349398,0.703313,clust2_
0.325301,0.274096,clust2_
0.90512,0.296687,clust1_
0.322289,0.381024,clust2_
0.456325,0.737952,clust2_
0.48494,0.414157,clust1_
1.08584,0.698795,clust1_
0.35241,0.331325,clust2_
0.715361,0.566265,clust2_
0.495482,0.539157,clust1_
0.659639,0.268072,clust1_
1.10843,0.746988,clust1_
0.608434,0.718373,clust2_
0.52259,0.745482,clust2_
0.299699,0.40512,clust2_
0.459337,0.76506,clust2_
0.402108,0.746988,clust2_
0.441265,0.197289,clust2_
1.06024,0.418675,clust1_
0.983434,0.371988,clust1_
0.510542,0.150602,clust2_
0.343373,0.561747,clust2_
0.631024,0.262048,clust1_
0.346386,0.606928,clust2_
0.371988,0.608434,clust2_
0.418675,0.685241,clust2_
0.98494,0.314759,clust1_
1.09036,0.783133,clust1_
0.933735,0.387048,clust1_
0.665663,0.605422,clust2_
0.472892,0.516566,clust1_
0.725904,0.292169,clust1_
0.638554,0.793675,clust2_
0.585843,0.266566,clust1_
1.0753,0.50753,clust1_
0.722892,0.670181,clust2_
0.474398,0.801205,clust2_
0.527108,0.796687,clust2_
0.289157,0.545181,clust2_
0.929217,0.253012,clust1_
0.50753,0.715361,clust2_
0.509036,0.814759,clust2_
1.07831,0.71988,clust1_
0.277108,0.588855,clust2_
0.504518,0.436747,clust1_
0.838855,0.231928,clust1_
1.06627,0.612952,clust1_
0.564759,0.144578,clust2_
0.314759,0.665663,clust2_
0.356928,0.23494,clust2_
0.331325,0.680723,clust2_
0.331325,0.412651,clust2_
0.993976,0.427711,clust1_
0.820783,0.293675,clust1_
0.305723,0.355422,clust2_
0.47741,0.554217,clust1_
0.456325,0.542169,clust1_
0.472892,0.612952,clust1_
0.600904,0.78012,clust2_
0.682229,0.213855,clust1_
0.968373,0.314759,clust1_
1.11596,0.695783,clust1_
0.439759,0.673193,clust2_
1.07078,0.451807,clust1_
0.414157,0.77259,clust2_
0.379518,0.662651,clust2_
1.10994,0.59488,clust1_
0.519578,0.402108,clust1_
0.338855,0.254518,clust2_
0.49247,0.763554,clust2_
0.287651,0.343373,clust2_
0.709337,0.549699,clust2_
1.04819,0.706325,clust1_
0.391566,0.233434,clust2_
0.521084,0.365964,clust1_
0.379518,0.213855,clust2_
1.04518,0.621988,clust1_
0.790663,0.212349,clust1_
0.531627,0.641566,clust1_
0.558735,0.277108,clust1_
0.554217,0.186747,clust2_
0.448795,0.218373,clust2_
0.783133,0.26506,clust1_
0.493976,0.322289,clust1_
1.03614,0.521084,clust1_
0.456325,0.581325,clust1_
0.545181,0.164157,clust2_
0.656627,0.501506,clust2_
1.00452,0.510542,clust1_
0.84488,0.251506,clust1_
0.475904,0.381024,clust1_
0.293675,0.379518,clust2_
